Source Class, Target Class, Score
Geographic Region,pathogen death temporal region,0.7053191489361703
Geographic Region,infection incidence proportion profile,0.6136363636363636
Geographic Region,zero-dimensional temporal region,0.6744897959183673
Geographic Region,incubation end process boundary,0.5958333333333333
Geographic Region,communicability start temporal region,0.6537037037037037
Geographic Region,infectious disease course,0.5928571428571429
Geographic Region,one-dimensional spatial region,0.7053191489361703
Geographic Region,zero-dimensional spatial region,0.7
Geographic Region,spatiotemporal region,0.7394736842105263
Geographic Region,latency end temporal region,0.7
Geographic Region,communicability end process boundary,0.6009433962264151
Geographic Region,temporal region,0.79375
Geographic Region,two-dimensional spatial region,0.7053191489361703
Geographic Region,long-term non-progressing infectious disease course,0.5970588235294118
Geographic Region,acute infectious disease course,0.575
Geographic Region,infection incidence proportion,0.6414893617021277
Geographic Region,spatial region,0.7403225806451613
Geographic Region,infection start temporal region,0.6791666666666666
Geographic Region,one-dimensional temporal region,0.6791666666666666
Geographic Region,country,0.575
Geographic Region,local infection,0.66875
Geographic Region,division of geopolitical entity,0.6375
Geographic Region,place closure control strategy,0.6202127659574468
Geographic Region,establishment of a clinically abnormal colony,0.5951612903225807
Geographic Region,incubation end temporal region,0.6840425531914894
Geographic Region,geographical region,0.9222222222222223
Geographic Region,latency end process boundary,0.6055555555555556
Geographic Region,object,0.5369565217391304
Geographic Region,T cell receptor complex,0.575
Geographic Region,B cell receptor complex,0.575
Geographic Region,disease course,0.6112903225806451
Geographic Region,chronic infectious disease course,0.59
Geographic Region,infection end temporal region,0.6891304347826087
Geographic Region,objective specification,0.625
Geographic Region,infectious disease incidence proportion,0.6285714285714286
Geographic Region,three-dimensional spatial region,0.6948979591836735
Geographic Region,communicability end temporal region,0.6615384615384616
Geographic Region,pathogen birth temporal region,0.7053191489361703
Geographic Region,geospatial region,0.8029411764705883
Geographic Region,disease surveillance objective specification,0.5975409836065574
Geographic Region,infectious disease control objective specification,0.5843283582089552
Geographic Region,object aggregate,0.6318181818181818
Coronavirus infection,infection incidence proportion profile,0.6533898305084747
Coronavirus infection,infectious disposition,0.6825581395348838
