Source Class, Target Class, Score
Disease caused by Coronaviridae,primary infectious disposition,0.6139344262295081
Disease caused by Coronaviridae,process of establishing viral infection,0.6071428571428572
Disease caused by Coronaviridae,virus adhesion susceptible cell,0.6435483870967742
Disease caused by Coronaviridae,single-stranded DNA virus,0.6642857142857143
Disease caused by Coronaviridae,SARS-CoV-2 disorder,0.65
Disease caused by Coronaviridae,virus release stage,0.65
Disease caused by Coronaviridae,virus translation stage,0.6351851851851852
Disease caused by Coronaviridae,subclinical infection,0.6038461538461539
Disease caused by Coronaviridae,COVID-19 mortality rate,0.6351851851851852
Disease caused by Coronaviridae,double-stranded RNA virus,0.6821428571428573
Disease caused by Coronaviridae,collective pathogenic disposition,0.590625
Disease caused by Coronaviridae,infectious disease endemicity,0.65
Disease caused by Coronaviridae,infection,0.575
Disease caused by Coronaviridae,establishment of localization in virus host,0.6256756756756756
Disease caused by Coronaviridae,negative-sense single-stranded RNA virus,0.6753521126760563
Disease caused by Coronaviridae,infectious disease course,0.6642857142857143
Disease caused by Coronaviridae,communicability start process boundary,0.6239130434782608
Disease caused by Coronaviridae,infectious disease mortality rate,0.684375
Disease caused by Coronaviridae,virostatic disposition,0.6009433962264151
Disease caused by Coronaviridae,SARS-COV-2 adhesion disposition,0.6112903225806451
Disease caused by Coronaviridae,exotoxin disposition,0.5676470588235294
Disease caused by Coronaviridae,virus synthesis stage,0.6230769230769231
Disease caused by Coronaviridae,invasive disposition,0.6264705882352941
Disease caused by Coronaviridae,disposition,0.5928571428571429
Disease caused by Coronaviridae,viral disease pandemic,0.6764150943396227
Disease caused by Coronaviridae,establishment of a clinically abnormal colony,0.6342105263157894
Disease caused by Coronaviridae,nursing-home acquired infection,0.6274193548387097
Disease caused by Coronaviridae,local infection,0.5804347826086956
Disease caused by Coronaviridae,fungistatic disposition,0.5981481481481481
Disease caused by Coronaviridae,disease surveillance objective specification,0.6766666666666665
Disease caused by Coronaviridae,cidal agent disposition,0.6166666666666667
Disease caused by Coronaviridae,COVID-19 incidence rate,0.6166666666666667
Disease caused by Coronaviridae,COVID-19 epidemic,0.5958333333333333
Disease caused by Coronaviridae,complex infection,0.575
Disease caused by Coronaviridae,immunosuppressive disposition,0.6166666666666667
Disease caused by Coronaviridae,endotoxin disposition,0.5846153846153846
Disease caused by Coronaviridae,source of infection site,0.6318181818181818
Disease caused by Coronaviridae,infectious disease sporadicity,0.6795081967213115
Disease caused by Coronaviridae,coronavirus disease course,0.6605263157894737
Disease caused by Coronaviridae,disordered virus,0.6627659574468084
Disease caused by Coronaviridae,infectious disease control objective specification,0.6475308641975309
Disease caused by Coronaviridae,viral disease course,0.6852941176470588
Disease caused by Coronaviridae,infectious disease epidemic,0.656896551724138
Disease caused by Coronaviridae,parasiticidal disposition,0.5928571428571429
Disease caused by Coronaviridae,neurotoxin disposition,0.5820754716981132
Disease caused by Coronaviridae,infectious disease,0.6336734693877552
Disease caused by Coronaviridae,intracellular infection,0.5981481481481481
Disease caused by Coronaviridae,infection incidence rate profile,0.6246031746031746
Disease caused by Coronaviridae,source of infection,0.61
Disease caused by Coronaviridae,T cell receptor complex,0.6166666666666667
Disease caused by Coronaviridae,acquired immunodeficiency,0.6285714285714286
Disease caused by Coronaviridae,static agent disposition,0.6136363636363636
Disease caused by Coronaviridae,viral disease epidemic,0.6764150943396227
Disease caused by Coronaviridae,incubation end temporal region,0.630327868852459
Disease caused by Coronaviridae,reverse zoonotic disposition,0.6194915254237288
Disease caused by Coronaviridae,COVID-19 disease course,0.6722222222222223
Disease caused by Coronaviridae,viricidal disposition,0.5846153846153846
Disease caused by Coronaviridae,viral disease,0.609090909090909
Disease caused by Coronaviridae,communicability start temporal region,0.6117647058823529
Disease caused by Coronaviridae,disease,0.6342105263157894
Disease caused by Coronaviridae,opportunistic infectious disposition,0.5992537313432835
Disease caused by Coronaviridae,site of infection,0.5958333333333333
Disease caused by Coronaviridae,positive-sense single-stranded RNA virus,0.6753521126760563
Disease caused by Coronaviridae,collective disposition,0.5820754716981132
Disease caused by Coronaviridae,source of infection role,0.6318181818181818
Disease caused by Coronaviridae,hospital-acquired infection,0.6224137931034482
Disease caused by Coronaviridae,primary infection,0.5958333333333333
Disease caused by Coronaviridae,acute infection,0.6239130434782608
Disease caused by Coronaviridae,COVID-19 disease incidence proportion,0.6705882352941177
Disease caused by Coronaviridae,infection incidence,0.63
Disease caused by Coronaviridae,coronavirus disease,0.69
Disease caused by Coronaviridae,viral adhesion disposition,0.6078947368421053
Disease caused by Coronaviridae,virus disorder,0.6277777777777778
Disease caused by Coronaviridae,pathogenic disposition,0.5820754716981132
Disease caused by Coronaviridae,virus aggregate,0.6239130434782608
Disease caused by Coronaviridae,virus generative stage,0.619811320754717
Disease caused by Coronaviridae,infectious disease incidence rate,0.66875
Disease caused by Coronaviridae,community-acquired infection,0.6194915254237288
Disease caused by Coronaviridae,adhesion disposition,0.6068627450980393
Disease caused by Coronaviridae,infection start temporal region,0.6112903225806451
Disease caused by Coronaviridae,infectious disposition,0.619811320754717
Disease caused by Coronaviridae,virus replication,0.5958333333333333
Disease caused by Coronaviridae,chronic infection,0.5958333333333333
Disease caused by Coronaviridae,zoonotic disposition,0.5676470588235294
Disease caused by Coronaviridae,bactericidal disposition,0.5954545454545455
Disease caused by Coronaviridae,disorder,0.6294871794871795
Disease caused by Coronaviridae,acute respiratory distress syndrome,0.6166666666666667
Disease caused by Coronaviridae,infectious disease prevalence,0.65
Disease caused by Coronaviridae,lower respiratory tract disease,0.6112903225806451
Disease caused by Coronaviridae,primary infection role,0.619811320754717
Disease caused by Coronaviridae,acute infectious disease course,0.6435483870967742
Disease caused by Coronaviridae,infectious disease control strategy,0.6772727272727272
Disease caused by Coronaviridae,communicability end process boundary,0.6291044776119403
Disease caused by Coronaviridae,collective resistance disposition,0.590625
Disease caused by Coronaviridae,subclinical SARS-CoV-2 infection,0.6087301587301588
Disease caused by Coronaviridae,disease course,0.7166666666666667
Disease caused by Coronaviridae,communicability end temporal region,0.6166666666666667
Disease caused by Coronaviridae,simple infection,0.598936170212766
Disease caused by Coronaviridae,infection end temporal region,0.6333333333333333
Disease caused by Coronaviridae,infectious disease incidence,0.6533898305084747
Disease caused by Coronaviridae,infectious disease pandemic,0.656896551724138
Disease caused by Coronaviridae,disease transmission model,0.6956140350877194
Disease caused by Coronaviridae,virus attachment stage,0.6009433962264151
Disease caused by Coronaviridae,process of establishing an infection,0.5992537313432835
Disease caused by Coronaviridae,infection incidence proportion profile,0.6384057971014493
Disease caused by Coronaviridae,incubation end process boundary,0.6435483870967742
Disease caused by Coronaviridae,infection incidence profile,0.6224137931034482
Disease caused by Coronaviridae,respiratory system disease,0.6078947368421053
Disease caused by Coronaviridae,respiratory droplet virus fomite,0.6404761904761905
Disease caused by Coronaviridae,incubation start process boundary,0.6375
Disease caused by Coronaviridae,latency end process boundary,0.6364406779661017
Disease caused by Coronaviridae,SARS-CoV-2 incidence rate,0.6464285714285714
Disease caused by Coronaviridae,infection prevalence,0.6068627450980393
Disease caused by Coronaviridae,infectious disorder,0.65
Disease caused by Coronaviridae,systematic infection,0.6068627450980393
Disease caused by Coronaviridae,infectious disease incidence proportion,0.6642857142857143
Disease caused by Coronaviridae,double-stranded DNA virus,0.6642857142857143
Disease caused by Coronaviridae,B cell receptor complex,0.6166666666666667
Disease caused by Coronaviridae,secondary infection role,0.65
Disease caused by Coronaviridae,enterotoxin disposition,0.5796296296296296
Disease caused by Coronaviridae,chronic infectious disease course,0.6375
Disease caused by Coronaviridae,virus uncoating stage,0.6423076923076922
Disease caused by Coronaviridae,infectious disease lifetime prevalence,0.6528985507246376
Disease caused by Coronaviridae,appearance of disorder,0.6386792452830189
Disease caused by Coronaviridae,toxin disposition,0.575
Disease caused by Coronaviridae,secondary infection,0.63
Disease caused by Coronaviridae,virus penetration stage,0.6166666666666667
Disease caused by Coronaviridae,infection start process boundary,0.6404761904761905
Disease caused by Coronaviridae,transmissibility disposition,0.6025423728813559
Disease caused by Coronaviridae,acquired immunity to infectious agent,0.6411764705882353
Disease caused by Coronaviridae,virus host,0.5719512195121951
Disease caused by Coronaviridae,virulence factor disposition,0.6364406779661017
Disease caused by Coronaviridae,latency end temporal region,0.6396551724137931
Disease caused by Coronaviridae,invasion disposition,0.6068627450980393
Disease caused by Coronaviridae,infection incidence rate,0.6318181818181818
Disease caused by Coronaviridae,virus,0.5333333333333333
Disease caused by Coronaviridae,subclinical virus infection,0.6396551724137931
Disease caused by Coronaviridae,extracellular infection,0.5981481481481481
Disease caused by Coronaviridae,subclinical coronavirus infection,0.684375
Disease caused by Coronaviridae,parasitostatic disposition,0.5903508771929825
Disease caused by Coronaviridae,metastatic infection,0.6068627450980393
Disease caused by Coronaviridae,infection incidence proportion,0.6139344262295081
Disease caused by Coronaviridae,cytotoxin disposition,0.5846153846153846
Disease caused by Coronaviridae,long-term non-progressing infectious disease course,0.5963414634146341
Disease caused by Coronaviridae,fungicidal disposition,0.5820754716981132
Disease caused by Coronaviridae,coronavirus disorder,0.6852941176470588
Disease caused by Coronaviridae,latency start process boundary,0.630327868852459
Disease caused by Coronaviridae,bacteriostatic disposition,0.5903508771929825
Disease caused by Coronaviridae,virus transcription stage,0.6464285714285714
Person,molecular entity,0.5863636363636363
Person,anatomical entity,0.5369565217391304
Person,establishment of a clinically abnormal colony,0.5284313725490196
Person,organism population,0.61
Person,geographical entity,0.57
Person,immunosuppressed organism,0.6112903225806451
Person,pathologically immunosuppressed organism,0.558695652173913
Person,geopolitical entity,0.57
Person,T cell receptor complex,0.553448275862069
Person,resistant entity,0.5863636363636363
Person,immaterial entity,0.5804347826086956
Person,drug-based immunosuppressed organism,0.569047619047619
