Source Class, Target Class, Score
InfectiousDisease,Disease,0.7416666666666667
InfectiousDisease,Infectious_Disease,0.9357142857142857
InfectiousDisease,Viral_Disease,0.7166666666666667
Country,Country,0.95
Country,Limit,0.5333333333333333
Country,Public_Sector,0.6
Country,State_Bank_of_India,0.5269230769230769
Country,Regional_Rural_Banks,0.5611111111111111
Country,State,0.5333333333333333
Country,Home,0.5409090909090909
DedicatedCovidHealthCentre,Covid Care Centre (CCC),0.6948979591836735
DedicatedCovidHealthCentre,Dedicated Covid Health Centre,0.9227272727272728
DedicatedCovidHealthCentre,Health_Care_Professional,0.65
DedicatedCovidHealthCentre,Dedicated Covid Hospital,0.79
DedicatedCovidHealthCentre,COVID-19 dedicated facility,0.6952830188679244
DedicatedCovidHealthCentre,Exposure_to_Covid_-19,0.598936170212766
Patient,Patient,0.95
Patient,Covid Care Centre (CCC),0.5833333333333334
Patient,Health_Care_Professional,0.5790322580645162
Patient,Person,0.6807692307692308
Patient,Police_Person,0.65
Patient,Moderate_COVID-19,0.575
Patient,LAP,0.55
Patient,Non_Scheduled_Banks,0.5269230769230769
Patient,Car,0.55
Patient,Mild_COVID-19,0.5
Group,Cluster,0.5333333333333333
Group,Health_Care_Professional,0.5189655172413793
Group,Police_Person,0.5611111111111111
Group,Gathering,0.5928571428571429
Group,Car,0.575
ExposureToCOVID-19,Covid Care Centre (CCC),0.5719512195121951
ExposureToCOVID-19,Dedicated Covid Health Centre,0.598936170212766
ExposureToCOVID-19,Dedicated Covid Hospital,0.6166666666666667
ExposureToCOVID-19,COVID-19_Diagnosis,0.6722222222222223
ExposureToCOVID-19,Moderate_COVID-19,0.7642857142857143
ExposureToCOVID-19,Covid-19_not_Impacted,0.6551282051282051
ExposureToCOVID-19,Covid-19_Impacted,0.6785714285714286
ExposureToCOVID-19,Severe_COVID-19,0.7833333333333333
ExposureToCOVID-19,COVID-19 dedicated facility,0.6277777777777778
ExposureToCOVID-19,Exposure_to_Covid_-19,0.9115384615384616
ExposureToCOVID-19,Mild_COVID-19,0.7080645161290323
District wise statistics,Covid Care Centre (CCC),0.598936170212766
District wise statistics,Health_Care_Professional,0.5958333333333333
District wise statistics,Limit,0.553448275862069
District wise statistics,Public_Sector,0.6121621621621621
District wise statistics,State_Bank_of_India,0.636046511627907
District wise statistics,Statistics,0.7441176470588234
District wise statistics,Account,0.5145161290322581
District wise statistics,Security_Guard,0.6078947368421053
District wise statistics,Non_Scheduled_Banks,0.5895348837209302
District wise statistics,State,0.5879310344827586
District wise statistics,Car,0.524074074074074
District wise statistics,Private_Sector,0.6342105263157894
InfectedBrother,InfectedBrother,0.95
ExposureViaCongregation,ExposureViaCongregation,0.95
ExposureViaCongregation,Exposure_to_Covid_-19,0.7
Organization,Cooperative_Banks,0.656896551724138
Organization,Business,0.55
Organization,Standard,0.6
Organization,Car,0.5166666666666666
DiseaseCluster,Cluster,0.7833333333333333
DiseaseCluster,Disease,0.7833333333333333
DiseaseCluster,Infectious_Disease,0.66875
DiseaseCluster,Viral_Disease,0.7092592592592593
Cluster,Cluster,0.95
Cluster,Gathering,0.6375
Covid Care Centre (CCC),Covid Care Centre (CCC),0.95
Covid Care Centre (CCC),Dedicated Covid Health Centre,0.7192307692307692
Covid Care Centre (CCC),Health_Care_Professional,0.6202127659574468
Covid Care Centre (CCC),Dedicated Covid Hospital,0.598936170212766
Covid Care Centre (CCC),Nurse,0.5571428571428572
Covid Care Centre (CCC),Close_Contact,0.6722222222222223
Covid Care Centre (CCC),Security_Guard,0.5851351351351352
Covid Care Centre (CCC),Exposure_to_Covid_-19,0.609090909090909
Covid Care Centre (CCC),Car,0.5653846153846154
GeographicCluster,Cluster,0.7416666666666667
InfectedFamilyMember,InfectedFamilyMember,0.95
Gender type,Corporate_Lending,0.5571428571428572
Gender type,Standard,0.6078947368421053
Gender type,Person,0.5676470588235294
Gender type,Police_Person,0.6166666666666667
Diagnosis,Limit,0.5928571428571429
Diagnosis,State_Bank_of_India,0.5928571428571429
Diagnosis,COVID-19_Diagnosis,0.7833333333333333
Diagnosis,Exposure_to_Covid_-19,0.55
Diagnosis,State,0.5214285714285714
Doctor,Doctor,0.95
Doctor,Standard,0.5928571428571429
Doctor,Person,0.5333333333333333
Doctor,Police_Person,0.6078947368421053
InfectedViaJob,InfectedViaJob,0.95
ExposureViaGathering,Exposure_to_Covid_-19,0.6939024390243902
ExposureViaGathering,Gathering,0.760344827586207
Disease,Dedicated Covid Health Centre,0.5888888888888889
Disease,Health_Care_Professional,0.5467741935483871
Disease,Disease,0.95
Disease,Infectious_Disease,0.73
Disease,LAP,0.55
Disease,Viral_Disease,0.8
InfectedCousin,InfectedCousin,0.95
Business,Covid Care Centre (CCC),0.5467741935483871
Business,Health_Care_Professional,0.54375
Business,Business,0.95
Business,Market,0.5214285714285714
Business,Saving,0.6642857142857143
Business,Public_Sector,0.5928571428571429
Business,State_Bank_of_India,0.5611111111111111
Business,City,0.5333333333333333
Business,Commercial_Banks,0.575
Business,State,0.6038461538461539
InfectedDomesticHelp,InfectedDomesticHelp,0.95
InfectedViaPoliceWork,Police_Person,0.6558823529411765
Test result,PM_Swanidhi,0.5409090909090909
Test result,Standard,0.6078947368421053
Test result,State_Bank_of_India,0.55
Test result,Close_Contact,0.575
Test result,State,0.6375
Clinical finding (finding),NPA,0.5189655172413793
Clinical finding (finding),PM_Swanidhi,0.5851351351351352
Clinical finding (finding),Police_Person,0.5782051282051281
Clinical finding (finding),Non_Scheduled_Banks,0.5833333333333334
Clinical finding (finding),Personal,0.5382352941176471
DiagnosedWithCovid,Covid Care Centre (CCC),0.5719512195121951
DiagnosedWithCovid,Dedicated Covid Health Centre,0.6627659574468084
DiagnosedWithCovid,Dedicated Covid Hospital,0.6880952380952381
DiagnosedWithCovid,Exposure_to_Covid_-19,0.6807692307692308
CovidTestingFacility,Covid Care Centre (CCC),0.636046511627907
CovidTestingFacility,Dedicated Covid Health Centre,0.6336734693877552
CovidTestingFacility,Dedicated Covid Hospital,0.6545454545454545
CovidTestingFacility,COVID-19 dedicated facility,0.7691489361702127
CovidTestingFacility,Exposure_to_Covid_-19,0.5719512195121951
Man,Person,0.5611111111111111
Man,Police_Person,0.5125
CountryWiseStatistics,Country,0.7
CountryWiseStatistics,Statistics,0.7725806451612902
Coronavirus infection,Dedicated Covid Health Centre,0.61
Coronavirus infection,Doctor,0.5981481481481481
Coronavirus infection,Health_Care_Professional,0.65
Coronavirus infection,Disease,0.5571428571428572
Coronavirus infection,Infectious_Disease,0.6551282051282051
Coronavirus infection,City,0.57
Coronavirus infection,Viral_Disease,0.6264705882352941
Coronavirus infection,Coronavirus,0.79375
CovidCareCentre,Covid Care Centre (CCC),0.8447368421052631
CovidCareCentre,Dedicated Covid Health Centre,0.7227272727272727
CovidCareCentre,Health_Care_Professional,0.6038461538461539
CovidCareCentre,Dedicated Covid Hospital,0.6038461538461539
CovidCareCentre,Exposure_to_Covid_-19,0.5888888888888889
CovidCareCentre,Car,0.6166666666666667
Dedicated Covid Hospital (DCH),Covid Care Centre (CCC),0.6575471698113208
Dedicated Covid Hospital (DCH),Dedicated Covid Health Centre,0.8059322033898306
Dedicated Covid Hospital (DCH),Health_Care_Professional,0.6537037037037037
Dedicated Covid Hospital (DCH),Business,0.5289473684210526
Dedicated Covid Hospital (DCH),Dedicated Covid Hospital,0.8944444444444444
Dedicated Covid Hospital (DCH),Place,0.5357142857142857
Dedicated Covid Hospital (DCH),COVID-19 dedicated facility,0.6956140350877194
Dedicated Covid Hospital (DCH),Exposure_to_Covid_-19,0.6264705882352941
Dedicated Covid Hospital (DCH),Home,0.5088235294117647
Dedicated Covid Hospital (DCH),Car,0.5106060606060606
Viral disease,Dedicated Covid Health Centre,0.6166666666666667
Viral disease,Health_Care_Professional,0.5851351351351352
Viral disease,Disease,0.8
Viral disease,Infectious_Disease,0.7403225806451613
Viral disease,LAP,0.575
Viral disease,Viral_Disease,0.95
InfectedNephew,InfectedNephew,0.95
Person,Person,0.95
Person,Police_Person,0.7657894736842106
Person,Personal,0.8785714285714286
Person,Customer,0.5928571428571429
ModerateCOVID-19,Covid Care Centre (CCC),0.6038461538461539
ModerateCOVID-19,Dedicated Covid Health Centre,0.6722222222222223
ModerateCOVID-19,Dedicated Covid Hospital,0.7
ModerateCOVID-19,COVID-19_Diagnosis,0.6852941176470588
ModerateCOVID-19,Moderate_COVID-19,0.9348484848484848
ModerateCOVID-19,Covid-19_not_Impacted,0.6662162162162162
ModerateCOVID-19,Covid-19_Impacted,0.6924242424242425
ModerateCOVID-19,Severe_COVID-19,0.8048387096774193
ModerateCOVID-19,COVID-19 dedicated facility,0.636046511627907
ModerateCOVID-19,Exposure_to_Covid_-19,0.7472972972972972
ModerateCOVID-19,Mild_COVID-19,0.7948275862068965
SevereCOVID-19,Covid Care Centre (CCC),0.5851351351351352
SevereCOVID-19,Dedicated Covid Health Centre,0.6127906976744186
SevereCOVID-19,Dedicated Covid Hospital,0.6342105263157894
SevereCOVID-19,COVID-19_Diagnosis,0.7
SevereCOVID-19,Moderate_COVID-19,0.8048387096774193
SevereCOVID-19,Covid-19_not_Impacted,0.6785714285714286
SevereCOVID-19,Covid-19_Impacted,0.7080645161290323
SevereCOVID-19,Severe_COVID-19,0.9327586206896552
SevereCOVID-19,COVID-19 dedicated facility,0.6451219512195122
SevereCOVID-19,Exposure_to_Covid_-19,0.7642857142857143
SevereCOVID-19,Mild_COVID-19,0.7462962962962962
Geographic Region,Country,0.575
Geographic Region,Current,0.6166666666666667
Geographic Region,Limit,0.5409090909090909
Geographic Region,Public_Sector,0.65
Geographic Region,State_Bank_of_India,0.5888888888888889
Geographic Region,City,0.5452380952380953
Geographic Region,Place,0.5863636363636363
Geographic Region,LAP,0.55
Geographic Region,Zone,0.5452380952380953
Geographic Region,State,0.5409090909090909
Geographic Region,Home,0.5452380952380953
Geographic Region,Private_Sector,0.6112903225806451
Severe COVID-19,Covid Care Centre (CCC),0.6078947368421053
Severe COVID-19,Dedicated Covid Health Centre,0.6318181818181818
Severe COVID-19,Health_Care_Professional,0.6038461538461539
Severe COVID-19,Dedicated Covid Hospital,0.6551282051282051
Severe COVID-19,COVID-19_Diagnosis,0.6924242424242425
Severe COVID-19,Moderate_COVID-19,0.825
Severe COVID-19,Covid-19_not_Impacted,0.6722222222222223
Severe COVID-19,Covid-19_Impacted,0.7
Severe COVID-19,Close_Contact,0.6285714285714286
Severe COVID-19,Severe_COVID-19,0.95
Severe COVID-19,COVID-19 dedicated facility,0.6404761904761905
Severe COVID-19,Exposure_to_Covid_-19,0.7833333333333333
Severe COVID-19,Car,0.5055555555555555
Severe COVID-19,Mild_COVID-19,0.7714285714285714
UrgentlyNeedsCovidTest,Covid Care Centre (CCC),0.6055555555555556
UrgentlyNeedsCovidTest,Dedicated Covid Health Centre,0.6852941176470588
UrgentlyNeedsCovidTest,Dedicated Covid Hospital,0.6891304347826087
UrgentlyNeedsCovidTest,Exposure_to_Covid_-19,0.6593023255813953
City,Market,0.55
City,Public_Sector,0.5676470588235294
City,City,0.95
City,Place,0.5611111111111111
City,State,0.5611111111111111
City,Private_Sector,0.5611111111111111
town,Corporate_Lending,0.5452380952380953
town,Market,0.55
town,Limit,0.5611111111111111
town,Public_Sector,0.5676470588235294
town,City,0.575
town,Regional_Rural_Banks,0.5333333333333333
town,Home,0.575
CityWard,City,0.7833333333333333
InfectedSpouse,InfectedSpouse,0.95
Nurse,Covid Care Centre (CCC),0.5571428571428572
Nurse,Doctor,0.5409090909090909
Nurse,Health_Care_Professional,0.5189655172413793
Nurse,Person,0.6318181818181818
Nurse,Police_Person,0.5611111111111111
Nurse,Nurse,0.95
Nurse,Car,0.575
Infectious disease,Dedicated Covid Health Centre,0.6202127659574468
Infectious disease,Health_Care_Professional,0.5928571428571429
Infectious disease,Disease,0.73
Infectious disease,Infectious_Disease,0.95
Infectious disease,Viral_Disease,0.7403225806451613
Place,Country,0.5333333333333333
Place,Deposit,0.5333333333333333
Place,State_Bank_of_India,0.5333333333333333
Place,City,0.5611111111111111
Place,Place,0.95
Place,Zone,0.5611111111111111
Place,State,0.65
Place,Home,0.5611111111111111
Status,State_Bank_of_India,0.61
Status,City,0.55
Status,Place,0.5409090909090909
Status,State,0.8136363636363637
Statistics,Statistics,0.95
Statistics,Account,0.5676470588235294
Statistics,Non_Scheduled_Banks,0.553448275862069
Vital signs,Severe_COVID-19,0.5653846153846154
Vital signs,Car,0.5214285714285714
ContactCluster,Cluster,0.7833333333333333
ContactCluster,Close_Contact,0.7092592592592593
HealthCareProfessional,Covid Care Centre (CCC),0.5833333333333334
HealthCareProfessional,Dedicated Covid Health Centre,0.6460784313725491
HealthCareProfessional,Health_Care_Professional,0.9282608695652175
HealthCareProfessional,Car,0.57
UntestedForCovid,Covid Care Centre (CCC),0.5782051282051281
UntestedForCovid,Dedicated Covid Health Centre,0.65
UntestedForCovid,Dedicated Covid Hospital,0.675
UntestedForCovid,Exposure_to_Covid_-19,0.6932432432432433
InfectedNiece,InfectedNiece,0.95
Medical clinic,Dedicated Covid Health Centre,0.6593023255813953
Medical clinic,Employee,0.5409090909090909
Medical clinic,Health_Care_Professional,0.6342105263157894
Medical clinic,Business,0.5409090909090909
Medical clinic,Person,0.55
Medical clinic,Dedicated Covid Hospital,0.6868421052631578
Medical clinic,Police_Person,0.5981481481481481
Medical clinic,LAP,0.5088235294117647
Medical clinic,Home,0.5611111111111111
InfectedSon,InfectedSon,0.95
Mild and very mild COVID-19,Patient,0.5088235294117647
Mild and very mild COVID-19,Covid Care Centre (CCC),0.63
Mild and very mild COVID-19,Dedicated Covid Health Centre,0.6285714285714286
Mild and very mild COVID-19,Dedicated Covid Hospital,0.6460784313725491
Mild and very mild COVID-19,COVID-19_Diagnosis,0.6277777777777778
Mild and very mild COVID-19,Moderate_COVID-19,0.7454545454545455
Mild and very mild COVID-19,Covid-19_not_Impacted,0.6166666666666667
Mild and very mild COVID-19,Covid-19_Impacted,0.6318181818181818
Mild and very mild COVID-19,Severe_COVID-19,0.7357142857142857
Mild and very mild COVID-19,COVID-19 dedicated facility,0.6351851851851852
Mild and very mild COVID-19,Exposure_to_Covid_-19,0.7
Mild and very mild COVID-19,Home,0.5145161290322581
Mild and very mild COVID-19,Mild_COVID-19,0.775
Close contact,Covid Care Centre (CCC),0.6722222222222223
Close contact,Health_Care_Professional,0.6121621621621621
Close contact,Saving,0.5552631578947369
Close contact,LAP,0.575
Close contact,Close_Contact,0.95
Close contact,Severe_COVID-19,0.6285714285714286
Close contact,Car,0.575
Close contact,Private_Sector,0.5981481481481481
InfectedDaughter,InfectedDaughter,0.95
Country wise statistics,Country,0.6833333333333332
Country wise statistics,Covid Care Centre (CCC),0.6239130434782608
Country wise statistics,Health_Care_Professional,0.598936170212766
Country wise statistics,Limit,0.5571428571428572
Country wise statistics,Public_Sector,0.5888888888888889
Country wise statistics,State_Bank_of_India,0.5928571428571429
Country wise statistics,Statistics,0.7530303030303032
Country wise statistics,Account,0.6166666666666667
Country wise statistics,Regional_Rural_Banks,0.5895348837209302
Country wise statistics,Security_Guard,0.6121621621621621
Country wise statistics,Non_Scheduled_Banks,0.6404761904761905
Country wise statistics,State,0.5928571428571429
Country wise statistics,Home,0.524074074074074
Country wise statistics,Car,0.5269230769230769
Professional nurse,Covid Care Centre (CCC),0.6207317073170732
Professional nurse,Doctor,0.575
Professional nurse,Health_Care_Professional,0.7357142857142857
Professional nurse,Person,0.6583333333333334
Professional nurse,Police_Person,0.6435483870967742
Professional nurse,Nurse,0.6673913043478261
Professional nurse,Car,0.5452380952380953
Agent,Business,0.5269230769230769
