Source Class, Target Class, Score
Country,B cell receptor complex,0.55
Country,COVID-19 disease incidence proportion,0.5409090909090909
Country,COVID-19 mortality rate,0.5833333333333334
Country,three-dimensional spatial region,0.5525641025641026
Country,communicability start temporal region,0.5863636363636363
Country,incubation end temporal region,0.5851351351351352
Country,infection incidence rate,0.5790322580645162
Country,PR_000003622,0.5026315789473684
Country,infectious disease mortality rate,0.575
Country,one-dimensional spatial region,0.5581081081081081
Country,GEO_000000371,0.5
Country,latency end process boundary,0.6214285714285714
Country,infection incidence proportion profile,0.5611111111111111
Country,establishment of a clinically abnormal colony,0.5269230769230769
Country,temporal region,0.5409090909090909
Country,geospatial region,0.575
Country,incubation end process boundary,0.6078947368421053
Country,latency end temporal region,0.5676470588235294
Country,Country,0.95
Country,infection end temporal region,0.5888888888888889
Country,two-dimensional spatial region,0.5581081081081081
Country,zero-dimensional spatial region,0.5552631578947369
Country,SARS-CoV-2 incidence rate,0.575
Country,communicability end process boundary,0.6127906976744186
Country,cell space,0.5088235294117647
Country,SARS-CoV-2 incidence proportion,0.5552631578947369
Country,infection start temporal region,0.581578947368421
Country,infection incidence proportion,0.5581081081081081
Country,pathogen birth temporal region,0.5581081081081081
Country,communicability end temporal region,0.5928571428571429
Country,infectious disease incidence proportion,0.558695652173913
Country,T cell receptor complex,0.55
Country,GEO_000000370,0.5
Country,CL_0000000,0.5088235294117647
Country,pathogen death temporal region,0.5581081081081081
Country,zero-dimensional temporal region,0.5525641025641026
Country,country,0.95
Country,infection incidence rate profile,0.5782051282051281
Country,COVID-19 incidence rate,0.5833333333333334
Country,infectious disease incidence rate,0.575
Country,geographical region,0.5653846153846154
Country,GEO_000000372,0.5
Country,anatomical space,0.5369565217391304
Country,spatial region,0.5452380952380953
Country,simple infection,0.5804347826086956
Country,one-dimensional temporal region,0.5552631578947369
Country,spatiotemporal region,0.5571428571428572
Patient,B cell receptor complex,0.55
Patient,COVID-19 mortality rate,0.55
Patient,ERO_0000347,0.5055555555555555
Patient,incubation end temporal region,0.6121621621621621
Patient,infection incidence rate,0.6112903225806451
Patient,PR_000003622,0.5026315789473684
Patient,infectious disease mortality rate,0.55
Patient,passive immunity to infectious agent,0.6127906976744186
Patient,ERO_0000008,0.5055555555555555
Patient,generically dependent continuant,0.5782051282051281
Patient,latency end process boundary,0.5642857142857143
Patient,passive immunization against infectious agent,0.5846153846153846
Patient,lower respiratory tract disease,0.581578947368421
Patient,establishment of a clinically abnormal colony,0.5461538461538461
Patient,ribonucleic acid,0.5369565217391304
Patient,ERO_0001362,0.5055555555555555
Patient,incubation end process boundary,0.581578947368421
Patient,latency end temporal region,0.5970588235294118
Patient,infection end temporal region,0.5888888888888889
Patient,nucleic acid,0.5552631578947369
Patient,specifically dependent continuant,0.6
Patient,ERO_0000671,0.5055555555555555
Patient,SARS-CoV-2 incidence rate,0.60625
Patient,communicability end process boundary,0.5430232558139535
Patient,ERO_0000006,0.5055555555555555
Patient,communicability end temporal region,0.569047619047619
Patient,case isolation control strategy,0.581578947368421
Patient,T cell receptor complex,0.55
Patient,ERO_0000337,0.5055555555555555
Patient,infection incidence rate profile,0.5782051282051281
Patient,deoxyribonucleic acid,0.5214285714285714
Patient,COVID-19 incidence rate,0.5833333333333334
Patient,infectious disease incidence rate,0.575
PM_Swanidhi,establishment of a clinically abnormal colony,0.5392857142857143
PM_Swanidhi,T cell receptor complex,0.5088235294117647
Doubtfull,B cell receptor complex,0.54375
Doubtfull,T cell receptor complex,0.54375
Cooperative_Banks,B cell receptor complex,0.575
Cooperative_Banks,COVID-19 mortality rate,0.65
Cooperative_Banks,ERO_0000347,0.5571428571428572
Cooperative_Banks,object aggregate,0.6318181818181818
Cooperative_Banks,coronavirus aggregate,0.6342105263157894
Cooperative_Banks,incubation end temporal region,0.6202127659574468
Cooperative_Banks,infection incidence rate,0.6207317073170732
Cooperative_Banks,PR_000003622,0.553448275862069
Cooperative_Banks,infectious structure aggregate,0.598936170212766
Cooperative_Banks,infectious disease mortality rate,0.61
Cooperative_Banks,virus aggregate,0.575
Cooperative_Banks,ERO_0000008,0.5571428571428572
Cooperative_Banks,generically dependent continuant,0.5928571428571429
Cooperative_Banks,latency end process boundary,0.6055555555555556
Cooperative_Banks,SARS-CoV-2 aggregate,0.6121621621621621
Cooperative_Banks,acellular structure aggregate,0.6021739130434782
Cooperative_Banks,establishment of a clinically abnormal colony,0.5790322580645162
