Source Class, Target Class, Score
geopolitical entity,acellular structure,0.6078947368421053
geopolitical entity,designative information content entity,0.6780701754385965
geopolitical entity,immaterial entity,0.7833333333333333
geopolitical entity,establishment of localization in human host,0.6112903225806451
geopolitical entity,drug-based immunosuppressed organism,0.5954545454545455
geopolitical entity,division of geopolitical entity,0.83
geopolitical entity,incubation end temporal region,0.6132653061224489
geopolitical entity,establishment of a clinically abnormal colony,0.621875
geopolitical entity,incubation end process boundary,0.59
geopolitical entity,material processing,0.6342105263157894
geopolitical entity,infectious structure generative stage,0.6285714285714286
geopolitical entity,herd immunity to infectious organism,0.5954545454545455
geopolitical entity,entity,0.69
geopolitical entity,T cell receptor complex,0.5928571428571429
geopolitical entity,information content entity,0.6944444444444444
geopolitical entity,immunosuppressed organism,0.5863636363636363
geopolitical entity,infectious human pathogen,0.609090909090909
geopolitical entity,material entity,0.7735294117647058
geopolitical entity,adhesion factor,0.5676470588235294
geopolitical entity,pathologically immunosuppressed organism,0.6364406779661017
geopolitical entity,processed material,0.6121621621621621
geopolitical entity,directive information content entity,0.6681818181818181
geopolitical entity,infection incidence rate,0.6127906976744186
geopolitical entity,organism population,0.6342105263157894
geopolitical entity,architectual structure,0.6451219512195122
geopolitical entity,action specification,0.6551282051282051
geopolitical entity,extended organism,0.5888888888888889
geopolitical entity,organism substance,0.5851351351351352
geopolitical entity,infection end temporal region,0.6375
geopolitical entity,realizable entity,0.7833333333333333
geopolitical entity,anatomical entity,0.7833333333333333
geopolitical entity,infectious structure host,0.5863636363636363
geopolitical entity,colonization of human,0.625
geopolitical entity,geographical feature,0.732051282051282
geopolitical entity,infectious disease incidence rate,0.6038461538461539
geopolitical entity,symptomatic infectious structure carrier,0.6194915254237288
geopolitical entity,geopolitical entity,0.95
geopolitical entity,virulence factor disposition,0.6202127659574468
geopolitical entity,communicability end temporal region,0.6351851851851852
geopolitical entity,blood,0.5333333333333333
geopolitical entity,organism,0.5981481481481481
geopolitical entity,infectious structure aggregate,0.5928571428571429
geopolitical entity,infectious structure host role,0.5724489795918367
geopolitical entity,quality,0.6423076923076922
geopolitical entity,infectious disease mortality rate,0.6230769230769231
geopolitical entity,virulence factor,0.5928571428571429
geopolitical entity,infectious structure,0.6038461538461539
geopolitical entity,invasion factor,0.5676470588235294
geopolitical entity,acellular structure aggregate,0.5958333333333333
geopolitical entity,latency end temporal region,0.6239130434782608
geopolitical entity,immunodeficient organism,0.6127906976744186
geopolitical entity,molecular entity,0.7642857142857143
geopolitical entity,resistant entity,0.7642857142857143
geopolitical entity,communicability end process boundary,0.6136363636363636
geopolitical entity,B cell receptor complex,0.5928571428571429
geopolitical entity,geographical entity,0.8447368421052631
geopolitical entity,descriptive information content entity,0.6780701754385965
geopolitical entity,immunocompetent organism,0.6127906976744186
geopolitical entity,susceptible organism,0.6551282051282051
geopolitical entity,latency end process boundary,0.598936170212766
geopolitical entity,asymptomatic infectious structure carrier,0.6166666666666667
geopolitical entity,case isolation control strategy,0.67
geopolitical entity,infection incidence rate profile,0.6068627450980393
parasiticidal disposition,toxin disposition,0.7833333333333333
parasiticidal disposition,adhesion disposition,0.7833333333333333
parasiticidal disposition,complex infection,0.6404761904761905
parasiticidal disposition,acellular structure,0.5863636363636363
parasiticidal disposition,designative information content entity,0.6246031746031746
parasiticidal disposition,immaterial entity,0.6404761904761905
parasiticidal disposition,bactericidal disposition,0.8581632653061224
parasiticidal disposition,establishment of localization in human host,0.6264705882352941
parasiticidal disposition,transmissibility disposition,0.808490566037736
parasiticidal disposition,division of geopolitical entity,0.6285714285714286
parasiticidal disposition,incubation end temporal region,0.6318181818181818
parasiticidal disposition,establishment of a clinically abnormal colony,0.6071428571428572
parasiticidal disposition,incubation end process boundary,0.6285714285714286
parasiticidal disposition,exotoxin disposition,0.7611111111111112
parasiticidal disposition,infectious structure generative stage,0.5790322580645162
parasiticidal disposition,entity,0.5467741935483871
