Source Class, Target Class, Score
pathogen vector role,extended organism,0.6121621621621621
pathogen vector role,virus aggregate,0.5928571428571429
pathogen vector role,source of infection,0.6294871794871795
pathogen vector role,infectious disease mortality rate,0.619811320754717
pathogen vector role,infection incidence rate profile,0.6807692307692308
pathogen vector role,pathogen generative stage,0.7388888888888888
pathogen vector role,pathogen portal of entry,0.7681818181818181
pathogen vector role,subclinical coronavirus infection,0.6009433962264151
pathogen vector role,primary pathogen,0.6722222222222223
pathogen vector role,infection end temporal region,0.6744897959183673
pathogen vector role,drug-based immunosuppressed organism,0.575
pathogen vector role,vector control strategy,0.7058139534883722
pathogen vector role,infectious disease,0.6342105263157894
pathogen vector role,double-stranded DNA virus,0.5833333333333334
pathogen vector role,site of infection,0.6391891891891892
pathogen vector role,immunocompetent organism,0.609090909090909
pathogen vector role,pathogen portal of exit,0.7755813953488372
pathogen vector role,infectious disease incidence,0.5958333333333333
pathogen vector role,reservoir of pathogen role,0.7326086956521739
pathogen vector role,subclinical SARS-CoV-2 infection,0.5846153846153846
pathogen vector role,virus translation stage,0.6127906976744186
pathogen vector role,disease surveillance objective specification,0.590625
pathogen vector role,virus release stage,0.6038461538461539
pathogen vector role,infectious agent host role,0.7108695652173913
pathogen vector role,source of infection site,0.6545454545454545
pathogen vector role,virus,0.53
pathogen vector role,virus replication,0.5851351351351352
pathogen vector role,B cell receptor complex,0.7058139534883722
pathogen vector role,passive immunization against infectious agent,0.65
pathogen vector role,systematic infection,0.625
pathogen vector role,infection incidence rate,0.6545454545454545
pathogen vector role,virus host,0.5833333333333334
pathogen vector role,double-stranded RNA virus,0.6055555555555556
pathogen vector role,mechanical vector,0.6932432432432433
pathogen vector role,pathogen portal of entry role,0.7969387755102041
pathogen vector role,virus transcription stage,0.6055555555555556
pathogen vector role,infectious disease lifetime prevalence,0.6224137931034482
pathogen vector role,pathogen birth temporal region,0.75
pathogen vector role,lower respiratory tract disease,0.6460784313725491
pathogen vector role,infectious disease incidence proportion,0.6025423728813559
pathogen vector role,opportunistic pathogen,0.6404761904761905
pathogen vector role,virus generative stage,0.6166666666666667
pathogen vector role,acute infectious disease course,0.6656862745098039
pathogen vector role,cidal agent disposition,0.6127906976744186
pathogen vector role,role,0.6166666666666667
pathogen vector role,genetic resistance to pathogen,0.67
pathogen vector role,subclinical infection,0.5963414634146341
pathogen vector role,appearance of disorder,0.6404761904761905
